시간,데이터유형,옵션코드,옵션체결시간,옵션현재가,옵션누적거래량,옵션체결수량,옵션이론가,옵션IV,옵션델타,옵션감마,옵션세타,옵션베가,옵션로,옵션미결제약정,옵션매도호가1,옵션매도잔량1,옵션매도호가2,옵션매도잔량2,옵션매도호가3,옵션매도잔량3,옵션매도호가4,옵션매도잔량4,옵션매도호가5,옵션매도잔량5,옵션매수호가1,옵션매수잔량1,옵션매수호가2,옵션매수잔량2,옵션매수호가3,옵션매수잔량3,옵션매수호가4,옵션매수잔량4,옵션매수호가5,옵션매수잔량5,옵션총매도잔량,옵션총매수잔량,지수코드,지수체결시간,지수현재가,지수전일대비,지수등락률,지수거래량,지수시가,1초체결량,체결방향,매수주도체결량,매도주도체결량
2026-03-26 11:49:10,스냅샷,B0164830,,,,,22.75,42.0680,0.4989,0.6416,1.0444,0.1306,,1426,,,,,,,,,,,,,,,,,,,,,,,201,114909,810.52,28.18,3.36,3,829.60,0,NONE,0,0
2026-03-26 11:49:11,스냅샷,B0164830,,,,,22.81,42.1379,0.4990,0.6419,1.0450,0.1308,,1426,,,,,,,,,,,,,,,,,,,,,,,201,114910,810.66,28.04,3.34,4,829.60,0,NONE,0,0
2026-03-26 11:49:12,스냅샷,B0164830,,,,,22.78,42.1029,0.4989,0.6418,1.0447,0.1307,,1426,,,,,,,,,,,,,,,,,,,,,,,201,114911,810.59,28.11,3.35,1,829.60,0,NONE,0,0
2026-03-26 11:49:13,스냅샷,B0164830,,,,,22.74,42.0531,0.4989,0.6415,1.0442,0.1305,,1426,,,,,,,,,,,,,,,,,,,,,,,201,114912,810.49,28.21,3.36,4,829.60,0,NONE,0,0
2026-03-26 11:49:14,스냅샷,B0164830,,,,,22.74,42.0580,0.4989,0.6416,1.0443,0.1305,,1426,,,,,,,,,,,,,,,,,,,,,,,201,114913,810.50,28.20,3.36,1,829.60,0,NONE,0,0
2026-03-26 11:49:15,스냅샷,B0164830,,,,,22.68,41.9882,0.4988,0.6412,1.0437,0.1303,,1426,,,,,,,,,,,,,,,,,,,,,,,201,114914,810.36,28.34,3.38,2,829.60,0,NONE,0,0
2026-03-26 11:49:16,스냅샷,B0164830,,,,,22.71,42.0231,0.4988,0.6414,1.0440,0.1304,,1426,,,,,,,,,,,,,,,,,,,,,,,201,114915,810.43,28.27,3.37,1,829.60,0,NONE,0,0
2026-03-26 11:49:17,스냅샷,B0164830,,,,,22.72,42.0281,0.4988,0.6414,1.0440,0.1304,,1426,,,,,,,,,,,,,,,,,,,,,,,201,114916,810.44,28.26,3.37,11,829.60,0,NONE,0,0
2026-03-26 11:49:18,스냅샷,B0164830,,,,,22.74,42.0580,0.4989,0.6416,1.0443,0.1305,,1426,,,,,,,,,,,,,,,,,,,,,,,201,114917,810.50,28.20,3.36,3,829.60,0,NONE,0,0
2026-03-26 11:49:19,스냅샷,B0164830,,,,,22.75,42.0680,0.4989,0.6416,1.0444,0.1306,,1426,,,,,,,,,,,,,,,,,,,,,,,201,114918,810.52,28.18,3.36,2,829.60,0,NONE,0,0
